Body_Type,Gender,Diet,How_Often_Shower,Heating_Energy_Source,Transport,Social_Activity,Monthly_Grocery_Bill,Frequency_of_Traveling_by_Air,Vehicle_Monthly_Distance_Km,Waste_Bag_Size,Waste_Bag_Weekly_Count,How_Long_TV_PC_Daily_Hour,How_Many_New_Clothes_Monthly,How_Long_Internet_Daily_Hour,Energy_Efficiency,CarbonEmission
overweight,male,vegetarian,more frequently,electricity,public,sometimes,285,rarely,147,extra large,5,4,24,11,Yes,1834
overweight,female,pescatarian,more frequently,wood,public,never,193,frequently,818,small,3,3,17,15,Sometimes,1387
underweight,female,vegan,more frequently,coal,public,often,297,frequently,1918,large,6,11,24,23,Yes,2142
obese,male,pescatarian,daily,coal,public,never,127,rarely,491,extra large,2,24,11,24,No,1966
overweight,female,vegetarian,less frequently,natural gas,public,sometimes,200,rarely,324,extra large,3,8,19,8,No,1553
overweight,female,pescatarian,daily,natural gas,public,often,62,never,113,medium,7,4,23,1,Yes,1184
normal,female,vegetarian,twice a day,coal,private,often,178,never,9719,extra large,1,9,36,3,Yes,3353
normal,male,omnivore,daily,coal,public,sometimes,114,very frequently,370,medium,1,3,48,5,No,3106
overweight,male,vegetarian,twice a day,natural gas,public,often,139,rarely,727,medium,4,4,14,15,Sometimes,1791
underweight,female,vegan,more frequently,natural gas,public,never,178,never,993,large,7,11,2,13,Sometimes,1033
underweight,male,vegan,less frequently,electricity,public,often,157,very frequently,519,medium,4,17,47,14,No,2632
underweight,male,pescatarian,more frequently,electricity,walk/bicycle,often,124,rarely,51,large,7,16,40,7,Sometimes,1731
obese,female,pescatarian,less frequently,electricity,walk/bicycle,often,90,frequently,15,extra large,4,9,2,19,Sometimes,1553
underweight,female,vegetarian,less frequently,natural gas,walk/bicycle,often,121,frequently,20,medium,7,10,39,15,Sometimes,2023
underweight,female,omnivore,more frequently,natural gas,walk/bicycle,often,68,very frequently,0,small,3,5,44,11,Yes,2180
