iter	RMSE
0	990.2373445
1	959.2482523
2	929.6256159
3	900.6922467
4	874.5007539
5	849.3894943
6	826.1677182
7	804.1993532
8	783.7858115
9	765.5048883
10	747.5266002
11	730.3339251
12	714.8869953
13	699.5004784
14	685.6263375
15	672.5388442
16	659.6830526
17	647.70584
18	637.0045001
19	627.1026648
20	617.44374
21	608.4221412
22	600.3329539
23	592.3952644
24	585.0289082
25	578.3896049
26	572.3107422
27	566.2147231
28	560.2236451
29	555.3337448
30	549.8097725
31	545.1978383
32	540.4788461
33	536.3394244
34	531.6290696
35	527.9777243
36	524.378963
37	520.9873531
38	517.7927434
39	513.9310651
40	510.9715809
41	508.1119614
42	505.5186767
43	503.0540113
44	500.9976478
45	498.8401095
46	496.3715235
47	494.3941899
48	492.3758802
49	490.36754
50	488.3887912
51	486.6648362
52	484.8529705
53	483.0193034
54	481.3700833
55	479.7538919
56	478.0400447
57	476.4688051
58	474.6377277
59	473.1191399
60	471.6797221
61	470.6971794
62	469.0241191
63	468.0492243
64	466.7904236
65	465.3131808
66	464.0028537
67	462.5842164
68	460.9986861
69	459.7246101
70	458.5854513
71	457.2240727
72	456.1294308
73	455.0243592
74	453.957587
75	452.7643441
76	451.6196047
77	450.6388031
78	449.6632096
79	448.5982092
80	447.5090625
81	446.7295002
82	445.9549373
83	445.1910402
84	444.2055532
85	443.1930057
86	442.3033682
87	441.473835
88	440.3483536
89	439.5457005
90	438.6076258
91	437.7660603
92	436.8345717
93	435.9007239
94	435.3324931
95	434.4836181
96	433.7335687
97	432.9866708
98	432.3052881
99	431.1760421
100	430.3391507
101	429.6080675
102	428.6032432
103	427.992784
104	427.3223185
105	426.6107067
106	425.633653
107	424.8849904
108	424.1207116
109	423.3436503
110	422.7963883
111	422.0351788
112	421.6363632
113	420.9570365
114	420.3516371
115	419.9678639
116	419.3947086
117	418.6781681
118	418.330072
119	417.6205285
120	416.8331796
121	416.411349
122	415.7017471
123	415.1208822
124	414.6218272
125	414.0944075
126	413.618288
127	413.2958243
128	412.7961833
129	412.2532709
130	411.6610843
131	410.8869383
132	410.5247512
133	409.9265872
134	409.5091464
135	409.0644548
136	408.4774734
137	407.8849789
138	407.2344077
139	406.8951725
140	406.0398685
141	405.2458456
142	404.7773384
143	404.2296143
144	403.7466175
145	403.2157545
146	402.4206432
147	401.7685377
148	401.2074093
149	400.6166662
150	400.1306543
151	399.5131197
152	399.2160989
153	398.5917458
154	397.9904907
155	397.3644825
156	396.9881204
157	396.5276311
158	396.125743
159	395.8117564
160	395.5506869
161	395.1413251
162	394.6170641
163	393.9731227
164	393.4890305
165	393.0814023
166	392.6462294
167	392.2348342
168	391.9669271
169	391.3032295
170	390.7042866
171	390.2611562
172	389.8474566
173	389.4960897
174	389.1850263
175	388.5288303
176	388.1773925
177	387.6384497
178	387.1406721
179	386.7362262
180	386.1768642
181	385.7456961
182	385.3171163
183	384.8166459
184	384.1063109
185	383.5948078
186	383.1830316
187	382.6018106
188	382.1942808
189	381.6492473
190	381.0442491
191	380.7058359
192	380.3607755
193	380.0419758
194	379.6300907
195	379.2165796
196	378.6497356
197	378.3600921
198	377.6989554
199	377.2341807
200	376.9529314
201	376.6677633
202	376.377947
203	376.0966048
204	375.4791496
205	374.8429014
206	374.6209056
207	374.3424232
208	373.9611842
209	373.4392876
210	372.8741559
211	372.3919158
212	371.8098106
213	371.5344621
214	370.9409903
215	370.5945544
216	370.0843762
217	369.7306267
218	369.4711484
219	368.9732219
220	368.5775002
221	368.0978327
222	367.8749378
223	367.3268504
224	367.1122638
225	366.7480571
226	366.2626483
227	365.8959015
228	365.4446116
229	365.2470037
230	364.9093595
231	364.4212973
232	364.002638
233	363.4878022
234	363.2305273
235	362.7298461
236	362.3029188
237	361.8711894
238	361.4129951
239	361.0228571
240	360.4640748
241	359.968288
242	359.5524091
243	359.1702304
244	358.9440265
245	358.7652675
246	358.3388535
247	357.9562661
248	357.7471059
249	357.3888289
250	357.0885746
251	356.7066127
252	356.3159176
253	356.0199839
