iter	Passed	Remaining
0	148	147955
1	149	74726
2	151	50314
3	152	38058
4	154	30742
5	156	25919
6	158	22440
7	160	19845
8	161	17828
9	163	16198
10	165	14871
11	167	13753
12	168	12809
13	170	12011
14	172	11317
15	174	10719
16	176	10179
17	177	9701
18	179	9273
19	181	8887
20	183	8537
21	184	8223
22	186	7936
23	188	7675
24	190	7433
25	192	7201
26	193	6987
27	195	6793
28	197	6611
29	199	6436
30	200	6281
31	202	6138
32	204	5995
33	206	5863
34	208	5736
35	209	5616
36	211	5502
37	213	5393
38	214	5290
39	216	5200
40	218	5114
41	220	5028
42	222	4946
43	223	4864
44	225	4789
45	227	4717
46	229	4647
47	230	4578
48	232	4515
49	234	4454
50	236	4396
51	238	4339
52	239	4285
53	241	4231
54	243	4180
55	244	4128
56	246	4080
57	248	4038
58	250	3996
59	252	3955
60	254	3916
61	256	3877
62	258	3838
63	259	3799
64	261	3760
65	263	3725
66	265	3693
67	267	3662
68	268	3625
69	270	3593
70	272	3559
71	273	3528
72	275	3495
73	276	3464
74	278	3433
75	280	3406
76	281	3379
77	283	3352
78	285	3325
79	287	3301
80	288	3275
81	290	3251
82	292	3227
83	293	3203
84	295	3181
85	297	3162
86	299	3141
87	301	3121
88	302	3100
89	304	3079
90	306	3059
91	308	3041
92	309	3021
93	311	3005
94	313	2988
95	315	2969
96	316	2949
97	318	2931
98	320	2913
99	321	2897
100	323	2881
101	325	2864
102	327	2849
103	329	2837
104	331	2824
105	333	2809
106	334	2795
107	336	2782
108	338	2770
109	340	2757
110	342	2744
111	344	2730
112	345	2715
113	347	2701
114	349	2687
115	350	2673
116	352	2660
117	354	2646
118	355	2634
119	357	2621
120	359	2609
121	360	2597
122	362	2584
123	364	2571
124	365	2559
125	367	2547
126	368	2536
127	370	2524
128	372	2513
129	373	2501
130	375	2492
131	377	2480
132	378	2469
133	380	2458
134	382	2448
135	383	2439
136	385	2430
137	387	2421
138	389	2411
139	391	2402
140	392	2393
141	394	2383
142	395	2372
143	397	2361
144	398	2352
145	400	2343
146	402	2335
147	403	2325
148	405	2316
149	407	2307
150	409	2300
151	410	2292
152	412	2283
153	414	2275
154	415	2266
155	417	2258
156	419	2249
157	420	2241
158	422	2232
159	423	2225
160	425	2216
161	426	2208
162	428	2200
163	430	2192
164	431	2184
165	433	2175
166	434	2167
167	436	2160
168	437	2151
169	439	2144
170	440	2136
171	442	2129
172	443	2122
173	445	2115
174	447	2109
175	448	2101
176	450	2094
177	451	2087
178	453	2080
179	455	2073
180	456	2066
181	458	2060
182	460	2054
183	461	2048
184	463	2042
185	465	2035
186	466	2028
187	468	2022
188	469	2015
189	471	2010
190	473	2004
191	474	1998
192	476	1993
193	478	1987
194	479	1981
195	481	1974
196	482	1968
197	484	1962
198	485	1955
199	487	1950
200	489	1944
201	490	1939
202	492	1932
203	493	1926
204	495	1920
205	496	1914
206	498	1908
207	499	1903
208	501	1897
209	502	1891
210	504	1888
211	506	1883
212	508	1877
213	509	1872
214	511	1866
215	512	1860
216	514	1854
217	515	1848
218	516	1843
219	518	1838
220	520	1834
221	522	1830
222	524	1826
223	525	1821
224	527	1817
225	529	1812
226	530	1807
227	532	1803
228	534	1798
229	536	1794
230	538	1791
231	539	1787
232	541	1783
233	543	1778
234	545	1774
235	546	1769
236	548	1764
237	549	1759
238	551	1755
239	552	1750
240	554	1746
241	556	1742
242	557	1738
243	559	1733
244	560	1728
245	562	1723
246	563	1718
247	565	1714
248	567	1711
249	569	1707
250	570	1702
251	572	1698
252	573	1693
253	574	1688
254	576	1684
255	577	1679
256	579	1674
257	581	1671
258	582	1667
259	584	1663
260	586	1659
261	587	1654
262	589	1650
263	590	1646
264	592	1642
265	593	1637
266	594	1632
267	596	1629
268	598	1625
269	600	1622
270	601	1618
271	603	1614
272	604	1611
273	606	1607
274	608	1603
275	609	1599
276	611	1595
277	612	1591
278	614	1587
